Time,Displacement,Force
"0.0000","0.0000","0.0400"
"0.0200","0.0001","0.0418"
"0.0400","0.0010","0.1800"
"0.0600","0.0042","0.7261"
"0.0800","0.0129","2.3224"
"0.0980","0.0271","4.9251"
"0.1130","0.0411","7.4299"
"0.1290","0.0557","9.9519"
"0.1470","0.0708","12.5092"
"0.1660","0.0860","15.0119"
"0.1860","0.1018","17.5932"
"0.2060","0.1173","20.1063"
"0.2260","0.1331","22.6691"
"0.2450","0.1487","25.1840"
"0.2650","0.1649","27.7754"
"0.2840","0.1807","30.2782"
"0.3030","0.1968","32.8469"
"0.3230","0.2135","35.4623"
"0.3430","0.2303","38.0880"
"0.3620","0.2466","40.6268"
"0.3820","0.2635","43.2292"
"0.4020","0.2796","45.6593"
"0.4220","0.2956","48.0750"
"0.4420","0.3120","50.5375"
"0.4620","0.3284","52.9964"
"0.4820","0.3456","55.5903"
"0.5020","0.3628","58.1456"
"0.5220","0.3792","60.5378"
"0.5420","0.3956","62.9260"
"0.5620","0.4124","65.3699"
"0.5820","0.4291","67.7749"
"0.6020","0.4457","70.1585"
"0.6220","0.4624","72.5294"
"0.6420","0.4787","74.8154"
"0.6620","0.4952","77.1403"
"0.6820","0.5125","79.5793"
"0.7020","0.5294","81.9552"
"0.7220","0.5463","84.2771"
"0.7420","0.5635","86.6581"
"0.7620","0.5800","88.8832"
"0.7820","0.5960","91.0120"
"0.8020","0.6122","93.1838"
"0.8220","0.6286","95.3726"
"0.8420","0.6454","97.6283"
"0.8620","0.6627","99.9351"
"0.8820","0.6796","102.1729"
"0.9020","0.6960","104.2932"
"0.9220","0.7127","106.4478"
"0.9420","0.7297","108.6489"
"0.9620","0.7461","110.7030"
"0.9820","0.7622","112.7483"
"1.0020","0.7785","114.7765"
"1.0220","0.7946","116.7925"
"1.0420","0.8118","118.9669"
"1.0620","0.8293","121.1745"
"1.0820","0.8464","123.2782"
"1.1020","0.8633","125.3496"
"1.1220","0.8803","127.4059"
"1.1420","0.8966","129.3185"
"1.1620","0.9126","131.1965"
"1.1820","0.9290","133.1410"
"1.2020","0.9455","135.0694"
"1.2220","0.9621","137.0118"
"1.2420","0.9792","139.0168"
"1.2620","0.9959","140.9059"
"1.2820","1.0124","142.7827"
"1.3020","1.0294","144.7262"
"1.3220","1.0462","146.6002"
"1.3420","1.0627","148.4177"
"1.3620","1.0790","150.1862"
"1.3820","1.0952","151.9320"
"1.4020","1.1116","153.6988"
"1.4220","1.1288","155.5620"
"1.4420","1.1462","157.4518"
"1.4620","1.1630","159.2069"
"1.4820","1.1798","160.9576"
"1.5020","1.1965","162.6574"
"1.5220","1.2127","164.2770"
"1.5420","1.2291","165.9399"
"1.5620","1.2456","167.5917"
"1.5820","1.2621","169.2190"
"1.6020","1.2789","170.8881"
"1.6220","1.2961","172.5842"
"1.6420","1.3129","174.1868"
"1.6620","1.3296","175.8389"
"1.6820","1.3470","177.5352"
"1.7020","1.3635","179.0358"
"1.7220","1.3796","180.4556"
"1.7420","1.3959","181.9177"
"1.7620","1.4121","183.3407"
"1.7820","1.4287","184.8123"
"1.8020","1.4461","186.3932"
"1.8220","1.4631","187.8539"
"1.8420","1.4797","189.2684"
"1.8620","1.4965","190.6774"
"1.8820","1.5132","192.0751"
"1.9020","1.5295","193.3940"
"1.9220","1.5460","194.7117"
"1.9420","1.5625","196.0328"
"1.9620","1.5788","197.2867"
"1.9820","1.5954","198.5812"
"2.0020","1.6122","199.8822"
"2.0220","1.6287","201.1273"
"2.0420","1.6457","202.4376"
"2.0620","1.6628","203.7203"
"2.0820","1.6793","204.8894"
"2.1020","1.6956","206.0212"
"2.1220","1.7121","207.1959"
"2.1420","1.7288","208.3699"
"2.1620","1.7457","209.5479"
"2.1820","1.7628","210.7323"
"2.2020","1.7793","211.8038"
"2.2220","1.7957","212.8502"
"2.2420","1.8127","213.9899"
"2.2620","1.8296","215.0663"
"2.2820","1.8462","216.0908"
"2.3020","1.8628","217.1054"
"2.3220","1.8789","218.0300"
"2.3420","1.8953","218.9960"
"2.3620","1.9122","220.0275"
"2.3820","1.9294","221.1333"
"2.4020","1.9464","222.1557"
"2.4220","1.9631","223.0783"
"2.4420","1.9797","223.9733"
"2.4620","1.9958","224.7785"
"2.4820","2.0122","225.6364"
"2.5020","2.0289","226.5105"
"2.5220","2.0455","227.3624"
"2.5420","2.0626","228.2724"
"2.5620","2.0798","229.1599"
"2.5820","2.0964","229.9450"
"2.6020","2.1131","230.7557"
"2.6220","2.1303","231.6134"
"2.6420","2.1470","232.3881"
"2.6620","2.1632","233.0818"
"2.6820","2.1795","233.7796"
"2.7020","2.1954","234.4180"
"2.7220","2.2118","235.1245"
"2.7420","2.2291","235.9451"
"2.7620","2.2461","236.6682"
"2.7820","2.2626","237.3326"
"2.8020","2.2793","238.0229"
"2.8220","2.2959","238.6568"
"2.8420","2.3124","239.2913"
"2.8620","2.3290","239.9152"
"2.8820","2.3455","240.5201"
"2.9020","2.3619","241.1238"
"2.9220","2.3791","241.7948"
"2.9420","2.3963","242.4525"
"2.9620","2.4128","242.9841"
"2.9820","2.4297","243.5944"
"3.0020","2.4469","244.2081"
"3.0220","2.4636","244.7323"
"3.0420","2.4798","245.2113"
"3.0620","2.4957","245.6331"
"3.0820","2.5116","246.0638"
"3.1020","2.5283","246.6088"
"3.1220","2.5458","247.2335"
"3.1420","2.5629","247.7743"
"3.1620","2.5796","248.2445"
"3.1820","2.5965","248.7709"
"3.2020","2.6135","249.2858"
"3.2220","2.6301","249.6949"
"3.2420","2.6464","250.0791"
"3.2620","2.6624","250.4167"
"3.2820","2.6788","250.8213"
"3.3020","2.6959","251.3051"
"3.3220","2.7129","251.7331"
"3.3420","2.7299","252.1806"
"3.3620","2.7472","252.6412"
"3.3820","2.7641","253.0291"
"3.4020","2.7801","253.3008"
"3.4220","2.7961","253.5796"
"3.4420","2.8123","253.9024"
"3.4620","2.8286","254.2172"
"3.4820","2.8458","254.6648"
"3.5020","2.8630","255.0656"
"3.5220","2.8794","255.3461"
"3.5420","2.8958","255.6452"
"3.5620","2.9124","255.9606"
"3.5820","2.9291","256.2845"
"3.6020","2.9459","256.6089"
"3.6220","2.9627","256.9306"
"3.6420","2.9791","257.1897"
"3.6620","2.9955","257.4566"
"3.6820","3.0126","257.7997"
"3.7020","3.0295","258.0956"
"3.7220","3.0464","258.3940"
"3.7420","3.0638","258.7406"
"3.7620","3.0803","258.9505"
"3.7820","3.0963","259.1065"
"3.8020","3.1124","259.3072"
"3.8220","3.1288","259.5148"
"3.8420","3.1456","259.8612"
"3.8620","3.1633","260.2474"
"3.8820","3.1805","260.4949"
"3.9020","3.1966","260.6060"
"3.9220","3.2128","260.7437"
"3.9420","3.2294","260.9546"
"3.9620","3.2459","261.1188"
"3.9820","3.2626","261.3291"
"4.0020","3.2790","261.5045"
"4.0220","3.2952","261.6378"
"4.0420","3.3122","261.8928"
"4.0620","3.3297","262.1624"
"4.0820","3.3467","262.3643"
"4.1020","3.3635","262.5482"
"4.1220","3.3804","262.7312"
"4.1420","3.3967","262.8432"
"4.1620","3.4128","262.9351"
"4.1820","3.4293","263.0824"
"4.2020","3.4457","263.2015"
"4.2220","3.4623","263.3632"
"4.2420","3.4794","263.5715"
"4.2620","3.4958","263.6627"
"4.2820","3.5120","263.7567"
"4.3020","3.5290","263.9683"
"4.3220","3.5462","264.1500"
"4.3420","3.5631","264.3132"
"4.3620","3.5796","264.4116"
"4.3820","3.5958","264.4883"
"4.4020","3.6122","264.5958"
"4.4220","3.6295","264.7846"
"4.4420","3.6468","264.9696"
"4.4620","3.6633","265.0433"
"4.4820","3.6800","265.1512"
"4.5020","3.6967","265.2564"
"4.5220","3.7132","265.3276"
"4.5420","3.7297","265.4619"
"4.5620","3.7465","265.6120"
"4.5820","3.7628","265.6707"
"4.6020","3.7794","265.7445"
"4.6220","3.7963","265.8521"
"4.6420","3.8129","265.9269"
"4.6620","3.8297","266.0110"
"4.6820","3.8468","266.1498"
"4.7020","3.8635","266.2026"
"4.7220","3.8801","266.2424"
"4.7420","3.8967","266.2980"
"4.7620","3.9127","266.2811"
"4.7820","3.9290","266.3300"
"4.8020","3.9461","266.4713"
"4.8220","3.9630","266.5534"
"4.8420","3.9799","266.6393"
"4.8620","3.9970","266.7522"
"4.8820","4.0140","266.8412"
"4.9020","4.0303","266.8507"
"4.9220","4.0465","266.8455"
"4.9420","4.0627","266.8604"
"4.9620","4.0787","266.8465"
"4.9820","4.0955","266.9550"
"5.0020","4.1125","267.0671"
"5.0220","4.1291","267.0997"
"5.0420","4.1461","267.2097"
"5.0620","4.1633","267.3030"
"5.0820","4.1798","267.3182"
"5.1020","4.1961","267.3222"
"5.1220","4.2125","267.3435"
"5.1420","4.2290","267.3827"
"5.1620","4.2459","267.4954"
"5.1820","4.2635","267.6812"
"5.2020","4.2803","267.7205"
"5.2220","4.2968","267.7149"
"5.2420","4.3138","267.7803"
"5.2620","4.3304","267.7799"
"5.2820","4.3466","267.7401"
"5.3020","4.3628","267.7255"
"5.3220","4.3789","267.6783"
"5.3420","4.3953","267.6999"
"5.3620","4.4125","267.7994"
"5.3820","4.4297","267.8777"
"5.4020","4.4464","267.9094"
"5.4220","4.4634","267.9451"
"5.4420","4.4800","267.9493"
"5.4620","4.4958","267.8493"
"5.4820","4.5119","267.8180"
"5.5020","4.5285","267.8515"
"5.5220","4.5452","267.8801"
"5.5420","4.5625","267.9797"
"5.5620","4.5797","268.0459"
"5.5820","4.5962","268.0434"
"5.6020","4.6130","268.0812"
"5.6220","4.6304","268.1709"
"5.6420","4.6472","268.1915"
"5.6620","4.6634","268.1401"
"5.6820","4.6796","268.0937"
"5.7020","4.6954","268.0152"
"5.7220","4.7118","268.0237"
"5.7420","4.7293","268.1483"
"5.7620","4.7463","268.1903"
"5.7820","4.7628","268.1837"
"5.8020","4.7796","268.2182"
"5.8220","4.7963","268.2487"
"5.8420","4.8129","268.2656"
"5.8620","4.8296","268.2723"
"5.8820","4.8461","268.2517"
"5.9020","4.8626","268.2369"
"5.9220","4.8795","268.2654"
"5.9420","4.8963","268.2811"
"5.9620","4.9128","268.2492"
"5.9820","4.9298","268.2934"
"6.0020","4.9470","268.3531"
"6.0220","4.9635","268.3058"
"6.0420","4.9798","268.2609"
"6.0620","4.9960","268.1910"
"6.0820","5.0122","268.1516"
"6.1020","5.0291","268.1965"
"6.1220","5.0464","268.2659"
"6.1420","5.0633","268.2792"
"6.1620","5.0801","268.2538"
"6.1820","5.0967","268.2195"
"6.2020","5.1126","268.1228"
"6.2220","5.1289","268.0934"
"6.2420","5.1459","268.1382"
"6.2620","5.1624","268.1175"
"6.2820","5.1791","268.1180"
"6.3020","5.1961","268.1635"
"6.3220","5.2129","268.1594"
"6.3420","5.2298","268.1717"
"6.3620","5.2470","268.2277"
"6.3820","5.2640","268.2313"
"6.4020","5.2800","268.1374"
"6.4220","5.2959","268.0432"
"6.4420","5.3121","268.0012"
"6.4620","5.3286","267.9919"
"6.4820","5.3460","268.0799"
"6.5020","5.3632","268.1291"
"6.5220","5.3795","268.0432"
"6.5420","5.3958","268.0164"
"6.5620","5.4126","268.0219"
"6.5820","5.4294","268.0299"
"6.6020","5.4461","268.0346"
"6.6220","5.4628","268.0199"
"6.6420","5.4791","267.9818"
"6.6620","5.4956","267.9719"
"6.6820","5.5129","268.0810"
"6.7020","5.5300","268.1020"
"6.7220","5.5469","268.0999"
"6.7420","5.5641","268.1353"
"6.7620","5.5804","268.0439"
"6.7820","5.5964","267.9483"
"6.8020","5.6127","267.8964"
"6.8220","5.6293","267.8714"
"6.8420","5.6464","267.9072"
"6.8620","5.6635","267.9157"
"6.8820","5.6797","267.8323"
"6.9020","5.6955","267.7234"
"6.9220","5.7122","267.7460"
"6.9420","5.7297","267.8365"
"6.9620","5.7464","267.8112"
"6.9820","5.7628","267.7564"
"7.0020","5.7789","267.6931"
"7.0220","5.7949","267.6082"
"7.0420","5.8120","267.6703"
"7.0620","5.8297","267.7757"
"7.0820","5.8468","267.7759"
"7.1020","5.8635","267.7723"
"7.1220","5.8804","267.7641"
"7.1420","5.8969","267.7233"
"7.1620","5.9132","267.6498"
"7.1820","5.9296","267.6173"
"7.2020","5.9458","267.5521"
"7.2220","5.9624","267.5338"
"7.2420","5.9796","267.5944"
"7.2620","5.9961","267.5476"
"7.2820","6.0126","267.5141"
"7.3020","6.0296","267.5359"
"7.3220","6.0465","267.5435"
"7.3420","6.0632","267.5226"
"7.3620","6.0798","267.4911"
"7.3820","6.0961","267.4339"
"7.4020","6.1122","267.3605"
"7.4220","6.1292","267.3978"
"7.4420","6.1465","267.4554"
"7.4620","6.1633","267.4405"
"7.4820","6.1802","267.4495"
"7.5020","6.1971","267.4434"
"7.5220","6.2134","267.3759"
"7.5420","6.2299","267.3343"
"7.5620","6.2462","267.2790"
"7.5820","6.2624","267.2126"
"7.6020","6.2791","267.2154"
"7.6220","6.2962","267.2712"
"7.6420","6.3133","267.3208"
"7.6620","6.3301","267.2888"
"7.6820","6.3467","267.2455"
"7.7020","6.3631","267.1789"
"7.7220","6.3792","267.0838"
"7.7420","6.3956","267.0575"
"7.7620","6.4119","267.0008"
"7.7820","6.4287","267.0003"
"7.8020","6.4461","267.0746"
"7.8220","6.4633","267.0923"
"7.8420","6.4801","267.0821"
"7.8620","6.4970","267.0727"
"7.8820","6.5137","267.0533"
"7.9020","6.5301","266.9850"
"7.9220","6.5465","266.9343"
"7.9420","6.5628","266.8645"
"7.9620","6.5788","266.7695"
"7.9820","6.5955","266.7589"
"8.0020","6.6124","266.7802"
"8.0220","6.6291","266.7556"
"8.0420","6.6461","266.7889"
"8.0620","6.6633","266.8205"
"8.0820","6.6799","266.7625"
"8.1020","6.6960","266.6892"
"8.1220","6.7125","266.6439"
"8.1420","6.7290","266.6204"
"8.1620","6.7460","266.6460"
"8.1820","6.7633","266.6974"
"8.2020","6.7799","266.6682"
"8.2220","6.7964","266.6094"
"8.2420","6.8133","266.6584"
"8.2620","6.8302","266.6784"
"8.2820","6.8468","266.6476"
"8.3020","6.8632","266.5876"
"8.3220","6.8793","266.4790"
"8.3420","6.8956","266.4363"
"8.3620","6.9126","266.4579"
"8.3820","6.9297","266.4798"
"8.4020","6.9464","266.4437"
"8.4220","6.9634","266.4486"
"8.4420","6.9802","266.4087"
"8.4620","6.9961","266.2923"
"8.4820","7.0122","266.2236"
"8.5020","7.0287","266.1955"
"8.5220","7.0453","266.1867"
"8.5420","7.0625","266.2397"
"8.5620","7.0798","266.2818"
"8.5820","7.0964","266.2300"
"8.6020","7.1130","266.2158"
"8.6220","7.1302","266.2424"
"8.6420","7.1469","266.2177"
"8.6620","7.1631","266.1433"
"8.6820","7.1794","266.0810"
"8.7020","7.1954","266.0096"
"8.7220","7.2120","265.9813"
"8.7420","7.2292","266.0458"
"8.7620","7.2462","266.0500"
"8.7820","7.2627","266.0154"
"8.8020","7.2794","266.0000"
"8.8220","7.2960","265.9650"
"8.8420","7.3126","265.9478"
"8.8620","7.3294","265.9332"
"8.8820","7.3460","265.9160"
"8.9020","7.3626","265.8743"
"8.9220","7.3794","265.8739"
"8.9420","7.3962","265.8636"
"8.9620","7.4129","265.8391"
"8.9820","7.4302","265.8864"
"9.0020","7.4473","265.9156"
"9.0220","7.4637","265.8813"
"9.0420","7.4800","265.8285"
"9.0620","7.4960","265.7266"
"9.0820","7.5120","265.6241"
"9.1020","7.5290","265.6630"
"9.1220","7.5466","265.7270"
"9.1420","7.5633","265.6905"
"9.1620","7.5796","265.6268"
"9.1820","7.5964","265.6183"
"9.2020","7.6132","265.6024"
"9.2220","7.6298","265.5465"
"9.2420","7.6463","265.5224"
"9.2620","7.6625","265.4515"
"9.2820","7.6790","265.4247"
"9.3020","7.6961","265.4573"
"9.3220","7.7130","265.4533"
"9.3420","7.7299","265.4614"
"9.3620","7.7470","265.4812"
"9.3820","7.7638","265.4636"
"9.4020","7.7797","265.3550"
"9.4220","7.7957","265.2698"
"9.4420","7.8121","265.2323"
"9.4620","7.8285","265.1851"
"9.4820","7.8457","265.2417"
"9.5020","7.8630","265.2868"
"9.5220","7.8795","265.2388"
"9.5420","7.8960","265.2037"
"9.5620","7.9129","265.2018"
"9.5820","7.9296","265.1785"
"9.6020","7.9462","265.1513"
"9.6220","7.9628","265.1170"
"9.6420","7.9791","265.0502"
"9.6620","7.9955","265.0162"
"9.6820","8.0126","265.0713"
"9.7020","8.0297","265.1308"
"9.7220","8.0467","265.1289"
"9.7420","8.0639","265.1444"
"9.7620","8.0803","265.0702"
"9.7820","8.0965","264.9815"
"9.8020","8.1126","264.9156"
"9.8220","8.1289","264.8524"
"9.8420","8.1457","264.8675"
"9.8620","8.1630","264.9069"
"9.8820","8.1800","264.9008"
"9.9020","8.1962","264.7979"
"9.9220","8.2125","264.7287"
"9.9420","8.2293","264.7474"
"9.9620","8.2462","264.7553"
"9.9820","8.2631","264.7605"
"10.0020","8.2792","264.6756"
"10.0220","8.2951","264.5799"
"10.0420","8.3121","264.6223"
"10.0620","8.3296","264.6921"
"10.0820","8.3467","264.6971"
"10.1020","8.3635","264.6856"
"10.1220","8.3805","264.6819"
"10.1420","8.3969","264.6287"
"10.1620","8.4130","264.5554"
"10.1820","8.4295","264.5178"
"10.2020","8.4458","264.4774"
"10.2220","8.4625","264.4507"
"10.2420","8.4795","264.4956"
"10.2620","8.4962","264.4741"
"10.2820","8.5128","264.4431"
"10.3020","8.5298","264.4685"
"10.3220","8.5466","264.4504"
"10.3420","8.5632","264.4277"
"10.3620","8.5797","264.3799"
"10.3820","8.5958","264.3112"
"10.4020","8.6120","264.2529"
"10.4220","8.6291","264.2904"
"10.4420","8.6466","264.3607"
"10.4620","8.6633","264.3325"
"10.4820","8.6801","264.3250"
"10.5020","8.6970","264.3272"
"10.5220","8.7135","264.2836"
"10.5420","8.7302","264.2771"
"10.5620","8.7467","264.2088"
"10.5820","8.7627","264.1171"
"10.6020","8.7791","264.0860"
"10.6220","8.7960","264.0974"
"10.6420","8.8125","264.0584"
"10.6620","8.8290","264.0265"
"10.6820","8.8462","264.0709"
"10.7020","8.8631","264.0725"
"10.7220","8.8796","264.0315"
"10.7420","8.8961","263.9965"
"10.7620","8.9122","263.9141"
"10.7820","8.9288","263.8967"
"10.8020","8.9461","263.9725"
"10.8220","8.9633","263.9840"
"10.8420","8.9802","263.9909"
"10.8620","8.9971","263.9753"
"10.8820","9.0137","263.9412"
"10.9020","9.0300","263.8800"
"10.9220","9.0464","263.8339"
"10.9420","9.0627","263.7758"
"10.9620","9.0786","263.6865"
"10.9820","9.0955","263.7163"
"11.0020","9.1127","263.7643"
"11.0220","9.1294","263.7242"
"11.0420","9.1462","263.7427"
"11.0620","9.1632","263.7704"
"11.0820","9.1798","263.7475"
"11.1020","9.1960","263.6780"
"11.1220","9.2123","263.6240"
"11.1420","9.2288","263.5968"
"11.1620","9.2458","263.6100"
"11.1820","9.2632","263.6745"
"11.2020","9.2800","263.6469"
"11.2220","9.2964","263.6010"
"11.2420","9.3133","263.6097"
"11.2620","9.3299","263.5795"
"11.2820","9.3465","263.5442"
"11.3020","9.3631","263.5255"
"11.3220","9.3794","263.4522"
"11.3420","9.3957","263.4085"
"11.3620","9.4127","263.4355"
"11.3820","9.4297","263.4445"
"11.4020","9.4461","263.3907"
"11.4220","9.4627","263.3607"
"11.4420","9.4795","263.3893"
"11.4620","9.4959","263.3811"
"11.4820","9.5127","263.4099"
"11.5020","9.5296","263.4084"
"11.5220","9.5462","263.3717"
"11.5420","9.5633","263.3954"
"11.5620","9.5802","263.3792"
"11.5820","9.5965","263.3167"
"11.6020","9.6131","263.3015"
"11.6220","9.6304","263.3293"
"11.6420","9.6471","263.3196"
"11.6620","9.6634","263.2465"
"11.6820","9.6796","263.1800"
"11.7020","9.6955","263.0826"
"11.7220","9.7120","263.0602"
"11.7420","9.7293","263.1228"
"11.7620","9.7461","263.1148"
"11.7820","9.7627","263.0863"
"11.8020","9.7795","263.0809"
"11.8220","9.7960","263.0463"
"11.8420","9.8125","263.0191"
"11.8620","9.8293","263.0171"
"11.8820","9.8459","262.9858"
"11.9020","9.8622","262.9376"
"11.9220","9.8791","262.9436"
"11.9420","9.8964","262.9910"
"11.9620","9.9130","262.9503"
"11.9820","9.9298","262.9504"
"12.0020","9.9469","263.0088"
"12.0220","9.9638","263.0483"
"12.0420","9.9804","263.0354"
"12.0620","9.9964","262.9185"
"12.0820","10.0121","262.8114"
"12.1020","10.0289","262.8231"
"12.1220","10.0465","262.8899"
"12.1420","10.0633","262.8816"
"12.1620","10.0797","262.8197"
"12.1820","10.0965","262.8164"
"12.2020","10.1131","262.7714"
"12.2220","10.1295","262.7220"
"12.2420","10.1461","262.7012"
"12.2620","10.1623","262.6279"
"12.2820","10.1787","262.6017"
"12.3020","10.1958","262.6358"
"12.3220","10.2128","262.6522"
"12.3420","10.2298","262.6637"
"12.3620","10.2471","262.7092"
"12.3820","10.2640","262.6941"
"12.4020","10.2799","262.5947"
