# ,,,,,,,,,,
# 04/08/2024 10:34:40,,,,,,,,,,
# The parameters defined in the project are:,,,,,,,,,,
# ,P24 - t [mm],P25 - t1 [m],P26 - t2 [m],P27 - w_t [m],P28 - offset [m],P29 - t_n,P30 - Force Y Component [N],P31 - Total Deformation Maximum [mm],P32 - Equivalent Stress Average [MPa],P33 - Equivalent Stress Maximum [MPa]
# ,,,,,,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,,,,,,
Name,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33
DP 11,0.4,0.0004,0.0004,0.05,0.05,1,-0.01,3.445190161,0.113814301,0.532531779
DP 12,0.4,0.0004,0.0004,0.033333333,0.033333333,2,-0.01,3.237014152,0.110605871,0.521158621
DP 13,0.4,0.0004,0.0004,0.025,0.025,3,-0.01,3.076962699,0.104364735,0.509308431
DP 14,0.4,0.0004,0.0004,0.02,0.02,4,-0.01,2.976437811,0.099327386,0.501323995
DP 15,0.4,0.0004,0.0004,0.016666667,0.016666667,5,-0.01,2.923970496,0.09311373,0.493493017
DP 16,0.4,0.0004,0.0004,0.014285714,0.014285714,6,-0.01,2.896795147,0.089169763,0.486340398
DP 17,0.4,0.0004,0.0004,0.0125,0.0125,7,-0.01,2.888042202,0.085057037,0.480718878
DP 18,0.4,0.0004,0.0004,0.011111111,0.011111111,8,-0.01,2.886995103,0.080970428,0.477874766
DP 19,0.4,0.0004,0.0004,0.01,0.01,9,-0.01,2.892060208,0.078085333,0.474676113
DP 20,0.4,0.0004,0.0004,0.009090909,0.009090909,10,-0.01,2.899168338,0.075727358,0.608813848
DP 21,0.4,0.0004,0.0004,0.008333333,0.008333333,11,-0.01,2.906653935,0.072785987,0.485215233
DP 22,0.4,0.0004,0.0004,0.007692308,0.007692308,12,-0.01,2.919197817,0.069202563,0.512251922
DP 23,0.4,0.0004,0.0004,0.007142857,0.007142857,13,-0.01,2.926288353,0.066971482,0.514632567
DP 24,0.4,0.0004,0.0004,0.006666667,0.006666667,14,-0.01,2.937620591,0.06454574,0.526350796
DP 25,0.4,0.0004,0.0004,0.00625,0.00625,15,-0.01,2.942982306,0.063175332,0.482160494
DP 26,0.4,0.0004,0.0004,0.005882353,0.005882353,16,-0.01,2.949960723,0.060039001,0.468459366
DP 27,0.4,0.0004,0.0004,0.005555556,0.005555556,17,-0.01,2.959358152,0.057606057,0.468248404
DP 28,0.4,0.0004,0.0004,0.005263158,0.005263158,18,-0.01,2.96211657,0.056474929,0.46792019
DP 29,0.4,0.0004,0.0004,0.005,0.005,19,-0.01,2.966336943,0.054464058,0.46773353
DP 30,0.4,0.0004,0.0004,0.004761905,0.004761905,20,-0.01,2.97693479,0.05345382,0.467559151
DP 31,0.4,0.0004,0.0004,0.004545455,0.004545455,21,-0.01,2.980496642,0.051469781,0.467248442
DP 32,0.4,0.0004,0.0004,0.004347826,0.004347826,22,-0.01,2.981722458,0.050747428,0.467022334
DP 33,0.4,0.0004,0.0004,0.004166667,0.004166667,23,-0.01,2.983677594,0.048838603,0.466963784
DP 34,0.4,0.0004,0.0004,0.004,0.004,24,-0.01,2.987777738,0.048430044,0.466836744
DP 35,0.4,0.0004,0.0004,0.003846154,0.003846154,25,-0.01,2.993004947,0.045376297,0.466548932
DP 36,0.4,0.0004,0.0004,0.003703704,0.003703704,26,-0.01,2.991973871,0.045536086,0.466503826
DP 37,0.4,0.0004,0.0004,0.003571429,0.003571429,27,-0.01,2.994003588,0.044955993,0.467895174
DP 38,0.4,0.0004,0.0004,0.003448276,0.003448276,28,-0.01,3.004090225,0.044161227,0.465970993
DP 39,0.4,0.0004,0.0004,0.003333333,0.003333333,29,-0.01,3.004449573,0.042126297,0.465679011
DP 40,0.4,0.0004,0.0004,0.003225806,0.003225806,30,-0.01,3.00177623,0.041503605,0.465777946
DP 41,0.4,0.0004,0.0004,0.003125,0.003125,31,-0.01,3.001029558,0.041083131,0.465531982
DP 42,0.4,0.0004,0.0004,0.003030303,0.003030303,32,-0.01,3.007840523,0.040997324,0.465445633
DP 43,0.4,0.0004,0.0004,0.002941176,0.002941176,33,-0.01,3.00708883,0.038800469,0.465082151
DP 44,0.4,0.0004,0.0004,0.002857143,0.002857143,34,-0.01,3.003027646,0.038446715,0.466838124
DP 45,0.4,0.0004,0.0004,0.002777778,0.002777778,35,-0.01,3.002604948,0.037876545,0.46678806
DP 46,0.4,0.0004,0.0004,0.002702703,0.002702703,36,-0.01,3.00764138,0.037058554,0.46514062
DP 47,0.4,0.0004,0.0004,0.002631579,0.002631579,37,-0.01,3.001338083,0.037291234,0.464869022
DP 48,0.4,0.0004,0.0004,0.002564103,0.002564103,38,-0.01,3.002331844,0.03519218,0.466446726
DP 49,0.4,0.0004,0.0004,0.0025,0.0025,39,-0.01,3.007824821,0.034520395,0.464788103
DP 50,0.4,0.0004,0.0004,0.002439024,0.002439024,40,-0.01,3.006313261,0.035091723,0.464664331
DP 51,0.4,0.0004,0.0004,0.002380952,0.002380952,41,-0.01,2.992498957,0.034218727,0.465216933
DP 52,0.4,0.0004,0.0004,0.002325581,0.002325581,42,-0.01,2.99976347,0.034329721,0.465999945
DP 53,0.4,0.0004,0.0004,0.002272727,0.002272727,43,-0.01,3.000337119,0.033968191,0.464266993
DP 54,0.4,0.0004,0.0004,0.002222222,0.002222222,44,-0.01,3.001707805,0.033435909,0.4649679
DP 55,0.4,0.0004,0.0004,0.002173913,0.002173913,45,-0.01,2.979720021,0.03250215,0.464794657
DP 56,0.4,0.0004,0.0004,0.00212766,0.00212766,46,-0.01,2.997745564,0.03110274,0.465754985
DP 57,0.4,0.0004,0.0004,0.002083333,0.002083333,47,-0.01,2.995255027,0.03056528,0.464260197
DP 58,0.4,0.0004,0.0004,0.002040816,0.002040816,48,-0.01,2.996221825,0.030672008,0.464192348
DP 59,0.4,0.0004,0.0004,0.002,0.002,49,-0.01,2.968945437,0.030128207,0.464286987
DP 60,0.4,0.0004,0.0004,0.001960784,0.001960784,50,-0.01,2.987038911,0.030288652,0.464226055
DP 61,0.4,0.0004,0.0004,0.001923077,0.001923077,51,-0.01,2.985200234,0.030233949,0.465675388
DP 62,0.4,0.0004,0.0004,0.001886792,0.001886792,52,-0.01,2.98436983,0.02980532,0.464101873
DP 63,0.4,0.0004,0.0004,0.001851852,0.001851852,53,-0.01,2.96006865,0.029234752,0.464826435
DP 64,0.4,0.0004,0.0004,0.001818182,0.001818182,54,-0.01,2.984548875,0.029299071,0.464761302
DP 65,0.4,0.0004,0.0004,0.001785714,0.001785714,55,-0.01,2.976804099,0.030245053,0.465601162
DP 66,0.4,0.0004,0.0004,0.001754386,0.001754386,56,-0.01,2.978670207,0.029942342,0.465553567
DP 67,0.4,0.0004,0.0004,0.001724138,0.001724138,57,-0.01,2.953948463,0.03014963,0.464211623
DP 68,0.4,0.0004,0.0004,0.001694915,0.001694915,58,-0.01,2.970006043,0.02716493,0.464573803
DP 69,0.4,0.0004,0.0004,0.001666667,0.001666667,59,-0.01,2.975124913,0.026472791,0.464401832
DP 70,0.4,0.0004,0.0004,0.001639344,0.001639344,60,-0.01,2.964243445,0.026902156,0.464392774
DP 71,0.4,0.0004,0.0004,0.001612903,0.001612903,61,-0.01,2.939536752,0.026948703,0.464261438
DP 72,0.4,0.0004,0.0004,0.001587302,0.001587302,62,-0.01,2.946609014,0.026334494,0.464340521
DP 73,0.4,0.0004,0.0004,0.0015625,0.0015625,63,-0.01,2.944351574,0.026145046,0.4647626
DP 74,0.4,0.0004,0.0004,0.001538462,0.001538462,64,-0.01,2.93500121,0.025293052,0.464320714
DP 75,0.4,0.0004,0.0004,0.001515152,0.001515152,65,-0.01,2.917033184,0.025855326,0.474859643
DP 76,0.4,0.0004,0.0004,0.001492537,0.001492537,66,-0.01,2.937014057,0.027132139,0.464356144
DP 77,0.4,0.0004,0.0004,0.001470588,0.001470588,67,-0.01,2.925884765,0.025341173,0.464200681
DP 78,0.4,0.0004,0.0004,0.001449275,0.001449275,68,-0.01,2.92664105,0.025988013,0.464143947
DP 79,0.4,0.0004,0.0004,0.001428571,0.001428571,69,-0.01,2.917590003,0.026089108,0.502618724
DP 80,0.4,0.0004,0.0004,0.001408451,0.001408451,70,-0.01,2.927310619,0.026078684,0.464628936
DP 81,0.4,0.0004,0.0004,0.001388889,0.001388889,71,-0.01,2.924376357,0.026856846,0.464047018
DP 82,0.4,0.0004,0.0004,0.001369863,0.001369863,72,-0.01,2.915049116,0.026701228,0.464454754
DP 83,0.4,0.0004,0.0004,0.001351351,0.001351351,73,-0.01,2.906835604,0.027214118,0.486207227
DP 84,0.4,0.0004,0.0004,0.001333333,0.001333333,74,-0.01,2.903719455,0.026876886,0.472825164
DP 85,0.4,0.0004,0.0004,0.001315789,0.001315789,75,-0.01,2.896276692,0.026720722,0.46354616
DP 86,0.4,0.0004,0.0004,0.001298701,0.001298701,76,-0.01,2.909078589,0.027482493,0.47571518
DP 87,0.4,0.0004,0.0004,0.001282051,0.001282051,77,-0.01,2.848850036,0.022050631,0.463636842
DP 88,0.4,0.0004,0.0004,0.001265823,0.001265823,78,-0.01,2.885929762,0.023808076,0.463627194
DP 89,0.4,0.0004,0.0004,0.00125,0.00125,79,-0.01,2.876017833,0.022989901,0.464080346
